,artist,title,rating,url,chords
0,The Black Eyed Peas,BOOM BOOM POW,4.0,https://tabs.ultimate-guitar.com/t/the_black_eyed_peas/boom_boom_pow_crd.htm,Am G Am G C#m Cadd9 C#m Cadd9 C#m Cadd9 C#m Cadd9 C G Em F Am E B E D E D E D B C# G D Am C# G Am G Am G C#m Cadd9 C#m Cadd9 C#m Cadd9 C#m Cadd9 G F A F F# C#m Cadd9 C#m Cadd9 C#m Cadd9 C#m Cadd9
1,Lady Gaga,POKER FACE,127.0,https://tabs.ultimate-guitar.com/l/lady_gaga/poker_face_acoustic_crd.htm,G Bm F C G Bm F C G Bm F C G Bm F C G D/F# Em C G D/F# Em C G Bm F C G Bm F C G Bm F C G Bm F C G Bm F C G D/F# Em C G D/F# Em C G Bm F C G Bm F C G Bm F C G
2,Lady Gaga Featuring Colby O'Donis,JUST DANCE,83.0,https://tabs.ultimate-guitar.com/l/lady_gaga/just_dance_ver2_crd.htm,Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm F Am F Am Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm F Am F Am Am C G Dm Am C G Dm Am C G Dm Am C G Dm F Am F Am Am C G Dm Am C G Dm Am C G Dm Am C G Dm Am C G Dm F Am F Am
3,The Black Eyed Peas,I GOTTA FEELING,206.0,https://tabs.ultimate-guitar.com/t/the_black_eyed_peas/i_gotta_feeling_crd.htm,G C Em C G C Em C G Gsus4 G C Csus2 Em Em7 C G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C G G C Em C G C Em C G C Em C G C Em C G G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C Gsus4 Csus2 Em7 G6/B G Gsus4 G C Csus2 Em Em7 C C/B
4,Taylor Swift,LOVE STORY,1984.0,https://tabs.ultimate-guitar.com/t/taylor_swift/love_story_crd.htm,C G Am F C F Am F C F Am G F G Am C F G Am F G C G Am F G C C F Am G F G Am C F G Am F G C G Am F G C G Am F G C G Am F G Am F C G Am F C G C G Am F G D A Bm G A D D A Bm G D
5,Flo Rida,RIGHT ROUND,18.0,https://tabs.ultimate-guitar.com/f/flo_rida/right_round_ver3_crd.htm,Am C G Am Am C G Am C G Am Am C G
6,Jason Mraz,I'M YOURS,4818.0,https://tabs.ultimate-guitar.com/j/jason_mraz/im_yours_crd.htm,G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C A7 G D Em C G D Em C G G Bm Em D C A7 G Bm Em D C A7 G D Em C G D Em C G D Em C G G D Em C G D Em C A7 G
7,Beyonce,SINGLE LADIES (PUT A RING ON IT),21.0,https://tabs.ultimate-guitar.com/tab/939080,Em Em Bm C Bm Am Bm C Bm Am Em Em Em Bm C Bm Am Bm C Bm Am Em Em Am Bm Em Am Bm Em Am Bm Em Am D#dim Em Bm C Bm Am Bm C Bm Am Em Em
8,Kanye West,HEARTLESS,48.0,https://tabs.ultimate-guitar.com/k/kanye_west/heartless_crd.htm,Am Dm F Dm Am Dm Am Dm Am G Am Am G Am Am G Am Am Dm F Dm Am G Am G Am Am G Am G Am Am G Am Am Dm F Dm Am G Am G Am Am G Am Am Dm F Dm Am G Am G Am Am7: F: Dm7: E7: Am7 F Dm7 E7 Am7 F Dm7 E7 Am7 F Dm7 E7 Am7 F Dm7 E7 Am7 F Dm7 E7 F Am7 Dm7 E7 Am7 F Dm7 E7 Am7 F Dm7 E7 F
9,The All-American Rejects,GIVES YOU HELL,356.0,https://tabs.ultimate-guitar.com/t/the_all-american_rejects/gives_you_hell_ver4_crd.htm,C Am F C Am F C Am F C Am F C Am F C Am F C Am F C Am F C Am F C Am F C Am F C Am F G Am G F7 C Am F C Am F C Am F Am G F7 C Am F C Am F C Am F C Am F G Am G F7 C Am F C Am F C Am F Am G F7 Am F C Em Dm C Am F7 Dm G C F Am G C C F Am G C C F Am G C C F Am G C Am G C Am G
10,Taylor Swift,YOU BELONG WITH ME,2048.0,https://tabs.ultimate-guitar.com/t/taylor_swift/you_belong_with_me_crd.htm,D D D A Em G D A Em G Em G D A Em G A D A Em G D D D A Em G D A Em G Em G D A Em G A D A Em G D A Em G D D A Em G Em G D A Em G D A D A Em G D A Em G D A Em G D
11,T.I. Featuring Justin Timberlake,DEAD AND GONE,16.0,https://tabs.ultimate-guitar.com/t/t_i_/dead_and_gone_ver3_crd.htm,Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E Am C G F E
12,The Fray,YOU FOUND ME,572.0,https://tabs.ultimate-guitar.com/t/the_fray/you_found_me_ver6_crd.htm,Em D C Em C G D D C Em C D C Em D C Em D C Em D C Em D C Em D C Em D C Em D C Em D C Em C G D Em C G D Em C G D Em C G D Em D C Em D C Em D C Em D C Em C G D Em C G D Em C G D Em C G D D C D C D C D C D C D C D C Em C G D Em C G D Em C G D Em C G D Em C G D
13,Kings Of Leon,USE SOMEBODY,1060.0,https://tabs.ultimate-guitar.com/k/kings_of_leon/use_somebody_ver3_crd.htm,C C/E F F C C/E F F C C/E F F C C/E F F C C/E F C C/E F Am C F Am C F C C/E F C C/E F Am C F Am C F C C/E F C C/E F C C/E F C C/E F Am C F Am C F C C/E F C C/E F C C/E F C C/E F D F# C C/E F C C/E F C C/E F C C/E F C C/E F
14,Keri Hilson Featuring Kanye West & Ne-Yo,KNOCK YOU DOWN,65.0,https://tabs.ultimate-guitar.com/k/keri_hilson/knock_you_down_ver4_crd.htm,C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em C D G C D Em
15,Jamie Foxx Featuring T-Pain,BLAME IT,3.0,https://tabs.ultimate-guitar.com/j/jamie_foxx/blame_it_crd.htm,"C, Em, F, G"
16,T.I. Featuring Rihanna,LIVE YOUR LIFE,16.0,https://tabs.ultimate-guitar.com/t/t_i_/live_your_life_ver2_crd.htm,"D, A, Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm G D A Bm"
17,Soulja Boy Tell 'em Featuring Sammie,KISS ME THRU THE PHONE,12.0,https://tabs.ultimate-guitar.com/s/soulja_boy/kiss_me_through_the_phone_crd.htm,G A G A G A Bm G A Bm D G A Bm G A D
18,Jay Sean Featuring Lil Wayne,DOWN,24.0,https://tabs.ultimate-guitar.com/j/jay_sean/down_crd.htm,D Em7 D A Em7 D A Em7 D A D Em7 A D A G D A D A G G D A D A G G D A D Em7 D A Em7 D A Em7 D A D Em7 A D A G D A D A G G D A D A G G D A D A D Em7 G Em7 D Em7 A Dsus Em7 G D G D A D Em7 A D A G D A D A G G D A D A G G D A D A G
19,Miley Cyrus,THE CLIMB,357.0,https://tabs.ultimate-guitar.com/m/miley_cyrus/the_climb_ver9_crd.htm,C F Dm C F Dm Am Em F Dm C F Dm G C Am G F C C F Dm C F Dm Am Em F Dm C F Dm G C Am G F C C F Dm G C Am G F C C F C F C
20,Drake,BEST I EVER HAD,33.0,https://tabs.ultimate-guitar.com/d/drake/best_i_ever_had_crd.htm,Cmaj7: G/B: Am: Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am Cmaj7 G/B Am
21,Kelly Clarkson,MY LIFE WOULD SUCK WITHOUT YOU,186.0,https://tabs.ultimate-guitar.com/k/kelly_clarkson/my_life_would_suck_without_you_ver4_crd.htm,G C G Bm Em C D G C G Bm Em C D G C G Bm Em C D G Em C D G Em C D G Em Am C G Em C D G C G Bm Em C D G C G Bm Em C D G Em C D G Em C D G Em Am C G Em C D G C G Bm Em C D G C G Bm Em C D G Em C D G Em C D G Em Am C G Em C D
22,Beyonce,HALO,1132.0,https://tabs.ultimate-guitar.com/tab/759809,G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G G Am Em C G Am Em C G Am Em C G G Am Em C G Am Em C G Am Em C G G Am Em C G Am Em C G Am Em C G Am Em C G Am Em C G G Am Em C G Am Em C G Am Em C G Am Em C G
23,Katy Perry,HOT N COLD,177.0,https://tabs.ultimate-guitar.com/k/katy_perry/hot_n_cold_ver3_crd.htm,G D Am C G D Am C G D Am C G D Am C Em C G D G D Am C
24,Shinedown,SECOND CHANCE,419.0,https://tabs.ultimate-guitar.com/s/shinedown/second_chance_ver3_crd.htm,Am C F F Am C F F Am C F F G Am F C G/B G Am D D Am C D F Am C D F Am C D F Am C F F Am C F F G Am F C G/B G Am D D Am C D F Am C D F Am C D F
25,Britney Spears,CIRCUS,9.0,https://tabs.ultimate-guitar.com/b/britney_spears/circus_crd.htm,F#m A G#- G Bm- F#m A G# G F#m A G# G F#m A G#G F#mA G# G F#m A G# G F#m A G# G F#m A G#G F#m F#m Bm F#m A G# GF#m AG# GF#m AG# GF#m A G# G F#m A G# GF#m AG# GF#m AG# GF#m A G# G F#m A G# GF#m AG# GF#m AG# GF#m A G# G
26,Kid Cudi,DAY 'N' NITE,12.0,https://tabs.ultimate-guitar.com/k/kid_cudi/day_n_nite_ver2_crd.htm,Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm Em Bm
27,Miley Cyrus,PARTY IN THE U.S.A.,195.0,https://tabs.ultimate-guitar.com/m/miley_cyrus/party_in_the_usa_ver10_crd.htm,C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G Am G Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G Am G Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G Em Am Em Am Em Am F G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G C Em Am G
28,3OH!3,DON'T TRUST ME,53.0,https://tabs.ultimate-guitar.com/0-9/3oh3/dont_trust_me_acoustic_crd.htm,Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F B-B-B-bruises C G Am F C G Am F C G Am F C G Am Am F C G Am F C G Am F C G Am F C G Am F C G
29,Kevin Rudolf Featuring Lil Wayne,LET IT ROCK,8.0,https://tabs.ultimate-guitar.com/k/kevin_rudolf/let_it_rock_crd.htm,F G D Bb F G D F G D F G D G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D F G D Bb G D F G D Bb G D Bb G D Bb G D F G D
30,Sean Kingston,FIRE BURNING,5.0,https://tabs.ultimate-guitar.com/s/sean_kingston/fire_burning_crd.htm,Am Am Am F G Am Am Am F G Am F Am Am G Am Am F Am Am G G Am C F G Am C F G Am G F G Am C F G
31,Jason DeRulo,WHATCHA SAY,68.0,https://tabs.ultimate-guitar.com/j/jason_derulo/whatcha_say_crd.htm,C G Em D C G Em D C G Em D C G Em D C G Em D C-G-Em-D
32,Lady Gaga,LOVEGAME,14.0,https://tabs.ultimate-guitar.com/l/lady_gaga/future_love_ver2_crd.htm,"G, Em, C, Am, D G Em C Am D G Em C Am D G Em C Am D G Em C Am D G Em C Am D G Em C Am D G Em C Am D G G Em C Am D G G Em C Am D G Em C Am D G Em C Am D G Em Am D G Em C Am D G Em C Am D G Em C Am D G G Em C Am D G Em C Am D G Em C Am D G Em C Am D"
33,Katy Perry,WAKING UP IN VEGAS,41.0,https://tabs.ultimate-guitar.com/k/katy_perry/waking_up_in_vegas_ver2_crd.htm,D Bm G D Bm G A Bm G A Bm G A Bm G A D A G A D A G A D A G A D A G Bm G D Bm G A Bm G A Bm G A Bm G A D A G A D A G A D A G A D A G Bm G C D F#m G A C A Bm G A Bm G A Bm G A D A G D A G D A G D D A G A D A G A D A G A D A G Bm G D A G A D A G D A G D A G D A G D A G D A G
34,Jeremih,BIRTHDAY SEX,9.0,https://tabs.ultimate-guitar.com/m/misc_unsigned_bands/jeremih_-_birthday_sex_crd.htm,G F G F G F G F G F G F G F G F C G F G F G F G F C G F G F G F G F C G F G F G F G F G F G F G F G F C G F G F G F G F C G F G F G F G F C G F G F F G F G F F G F G F G F G F G F G F G F G F G F G F C G F G F G F G F C
35,Pink,SOBER,78.0,https://tabs.ultimate-guitar.com/p/pnk/sober_ver5_crd.htm,Em C G Em C G D Em C G Em C G D Em C G Em C G Em C G Em C G Em C G D Em C G D Em C G D Em C G D
36,Britney Spears,WOMANIZER,27.0,https://tabs.ultimate-guitar.com/b/britney_spears/womanizer_crd.htm,C#m F#m E D# D C#m F#m E D# D C#m F#m E D# D C#m F#m E D# D C#m F#m E D# D A E A D# C#m F#m E D# D C#m: F#m: E D# D A
37,T.I.,WHATEVER YOU LIKE,12.0,https://tabs.ultimate-guitar.com/t/t_i_/whatever_you_like_ver3_crd.htm,
38,Mariah Carey,OBSESSED,6.0,https://tabs.ultimate-guitar.com/m/mariah_carey/obsessed_crd.htm,G Bm G Bm A G Bm Em D F# G Bm G Bm A G Bm Em D F#
39,Ne-Yo,MAD,53.0,https://tabs.ultimate-guitar.com/n/ne-yo/mad_ver4_crd.htm,C-G-Dm-F C G Dm F C G Dm F Am G F G Am G Dm F Am F Dm F G Am F Dm G C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F Am G F G Am G Dm F Dm Am Dm Am G Dm C F C Dm G C G Dm F C-G-Dm-F
40,Cobra Starship Featuring Leighton Meester,GOOD GIRLS GO BAD,21.0,https://tabs.ultimate-guitar.com/c/cobra_starship/good_girls_go_bad_crd.htm,Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F
41,Kanye West,LOVE LOCKDOWN,9.0,https://tabs.ultimate-guitar.com/k/kanye_west/love_lockdown_crd.htm,E A D G B E C#m: E F#m: A B C#m E C#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m C#m E C#m C#m E C#m C#m E C#m C#m E C#m F#m A F#m F#m A F#m F#m A F#m B C#m
42,Pink,SO WHAT,48.0,https://tabs.ultimate-guitar.com/p/pnk/so_what_crd.htm,E5 G5 B5 E5 G Bm Em C G Bm Em C G Bm Em C G Bm Em C G E5 G5 B5 E5 G Bm Em C G Bm Em C G Bm Em C G Bm Em C G G5 G Bm Em C G Em C G Bm Em C G Bm Em C E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 G Bm Em C G Bm Em C G Bm Em C G Bm Em C G E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 E5 G5 B5 E5 G Bm Em C G Bm Em C G Bm Em C G Bm Em C G G5 G Bm Em C G Em C G Bm Em C G Bm Em C E5 G5 B5 E5 E5 G5 B5 E5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 A C#m F#m D A C#m F#m D A C#m F#m D A C#m F#m D A F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 F#5 A5 C#5 F#5 A C#m F#m D A C#m F#m D A C#m F#m D A C#m F#m D A A5 A C#m F#m D A F#m D A C#m F#m D A C#m F#m D F#5 A5 C#5 F#5 F#5 A5 C#5 F#5
43,Beyonce,IF I WERE A BOY,344.0,https://tabs.ultimate-guitar.com/tab/745630,C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D C Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D C Am7 Am7 C G D Am C Em D Am C Em D C Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D C Em C G D
44,Keri Hilson Featuring Lil Wayne,TURNIN ME ON,5.0,https://tabs.ultimate-guitar.com/k/keri_hilson/turn_my_swag_on_lauren_acoustic_crd.htm,D A# C A D A# C A D A#
45,The Pussycat Dolls,I HATE THIS PART,13.0,https://tabs.ultimate-guitar.com/t/the_pussycat_dolls/i_hate_this_part_ver2_crd.htm,F Gm F C Bb Dm C/E Gm-F-C-Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb Dm F C Bb Dm F C Bb Dm F C Bb Dm F C Bb Dm F C Bb Dm F C Bb Dm C Bb F C/E Dm C Bb F C/E Dm C Bb F C/E Dm C Bb F C/E Dm F C Bb Gm F C Bb Gm F C Bb Gm F C Bb
46,Nickelback,GOTTA BE SOMEBODY,70.0,https://tabs.ultimate-guitar.com/n/nickelback/gotta_be_somebody_crd.htm,C G Am F C G Am F C G Am F F G A C G A F C G A F C G A F C
